TipVersion,TransactionNum,TransactionType,SourceId,SourceName,TimeStamp,UnitId,ReferenceSourceName,AltReferenceId,ReferenceSourceId,linenumber,ReferenceType,ReferenceId,ClientCode,ProductCode,EstimateCode,BuyerId,BuyerName,AdvertiserId,AdvertiserName,BrandId,BrandName,ProductId,ProductName,MediaOutletId,SalesElementName,SalesElementId,SalesElementType,Program,Daypart,InventoryType,LinkType,Makegood,Bonus,Length,Rate,AdId,Status,CreditInd,DowMonday,DowTuesday,DowWednesday,DowThursday,DowFriday,DowSaturday,DowSunday,CalendarDateTime,AirDate,Airtime,ChannelInt,Market,Salesoffice,StatusType,LogType
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-24,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Young Sheldon SYN,fc0c5e27-7811-4024-870f-9e1325af9b42,Program,Young Sheldon SYN,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T17:48:51,7/2/2025,17:48:51,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-21,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Karamo SYN,605b4b5a-6eb2-4d59-ba00-98bcac16e3b6,Program,Karamo SYN,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T15:48:30,7/2/2025,15:48:30,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-20,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Judge Mathis,f7fea4f9-04fc-49e7-bff9-e7df43c26cac,Program,Judge Mathis,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T10:23:30,7/2/2025,10:23:30,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-19,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Steve Wilkos SYN,8809a9bb-8ea7-4005-9dd0-b2517a354a0c,Program,Steve Wilkos SYN,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T13:38:45,7/2/2025,13:38:45,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-22,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Paid Program,83259ae1-4b12-4fb0-86f2-f749fc38adaf,Program,Paid Program,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T08:28:40,7/2/2025,8:28:40,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-25,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Living Local DMV,ca644b1c-b8c0-44fb-b5b9-c48254f3a114,Program,Living Local DMV,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T14:54:05,7/2/2025,14:54:05,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-7,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Big Bang Theory SYN,58e26df3-97b9-4406-9a61-42f1771fb596,Program,Big Bang Theory SYN,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-01T18:45:35,7/1/2025,18:45:35,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-1,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Cutlers Court,4427a9ae-4f45-4923-b829-135f53bf8cfb,Program,Cutlers Court,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-01T08:39:00,7/1/2025,8:39:00,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-16,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Young Sheldon SYN,fc0c5e27-7811-4024-870f-9e1325af9b42,Program,Young Sheldon SYN,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-01T17:38:43,7/1/2025,17:38:43,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4925192-1-29,WDCW,,517,1,Order,4925192,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Paternity Court SYN,e0382a5e-7d1e-4205-bb9b-f29d0c2b5a7e,Program,Paternity Court SYN,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2025-07-02T07:43:00,7/2/2025,7:43:00,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
6,f478ecd8-b43f-417b-9f03-af7add42dbb7,New,WOT,WOT,6/27/2025 5:46,4888195-2-232,WDCW,,517,2,Order,4888195,,,FE2021L1860/FE23FL18,116602,Policynology LLC,129166,Senior Life Insurance,,,"DR1,IN5",,517,Justice for the People with Judge Marilyn Milian,50f18b33-371b-404d-8edd-754c7bb4ae73,Program,Justice for the People with Judge Marilyn Milian,Miscellaneous,Commercial,,FALSE,FALSE,60,29,,Scheduled,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2025-06-30T09:43:42,6/30/2025,9:43:42,,Washington DC,NSO - Direct Response,Spot Unfinalized,PreLog
